Title,Number of review,Catagory,Reveiw Comment,Popular food,Online Order
Jeju Noodle Bar,52,"Asian, Korean",“GO GO GO!!! Best place for Rahmen for sure”,No,No
Perfect Picnic,49,"Italian, American",“Perfect Picnic did a wonderful job...”,No,No
American Art Cafe,263,American,“Surprisingly yummy!”,No,No
Mamoun's Falafel,76,"Fast Food, Middle Eastern",“Not the best situation so we opted to A compact menu of middle Eastern food i...”,No,No
The Morgan Library Dining Room,60,American,“Surprising Spot in the 30's”,No,No
Kopitiam,33,"Asian, Malaysian",“... favorites fhat are hard to find anywhere outside of Malaysia/Singapore.”,No,No
Hometown Hotpot & BBQ,50,"Barbecue, Asian",“Decent hot pot”,No,No
Miss Mamie's Spoonbread Too,102,"American, Caribbean",“Southern classics”,No,No
Manolo Tapas,38,"Spanish, Mediterranean",“Consistently Great!”,No,No
Hunan Manor Restaurant,148,"Chinese, Asian",“Wow. Just wow. Christmas Day Dinner.”,No,No
La Bella Vita Restaurant,655,Italian,“Good food and service!!!”,No,No
La Esquina - Midtown,67,"Mexican, Latin",“the best food”,No,No
India Kitchen,62,Indian,"“Authentic food, reasonably”",No,No
Tangy Noodle,3,"Chinese, Asian",“Great quality for the price!”,No,No
Effy's Kitchen,30,Cafe,"“Great food, great value”",No,No
Shuko,73,"Japanese, Sushi",“Incredible sushi experience”,No,No
Lunetta Pizza,41,"Italian, Pizza",“A Superior Pizza Experience”,No,No
Grill 21,51,"Filipino, Asian",“Great Authentic Filipino Food”,No,No
Poco - NYC,72,"American, Bar",“Great brunch”,No,No
Little Alley,44,"Asian, Chinese",“For a main course the sautéed green beans with pork and dried red chili was b...”,No,No
Brooklyn Chop House - Times Square,3,"Chinese, Steakhouse",“Worth the price”,Ramen,Yes
Takahachi,62,"Japanese, Sushi",“Good sushi but portions small”,sat at the bar,Yes
Koku Ramen,34,"Japanese, Asian",“Amazing Ramen!”,Garden,Yes
Barn Joo Nomad,14,"Asian, Korean",“Very nice Korean food”,beef,Yes
Inwood Bar and Grill,33,"Bar, Pub",“Fantástico”,sliders,Yes
Mccarthys Pub,19,"American, Irish",“... in after work & sat at the bar.”,fries,Yes
Goldie's Tavern,7,"Bar, Pub",“Close to Maddison Square Garden.”,ribeye,Yes
Shorty's,79,"American, Bar",“Raucous bar”,seafood paella,Yes
Macbar,86,"American, Asian",“Cheesiest Mac n Cheese Ever!”,pasta,Yes
Blue Stripes,33,Cafe,“Perfect atmosphere”,No,Yes
The Whitby Bar & Restaurant,86,"International, American",“Afternoon Tea Pleasant & Needs Work”,No,Yes
PJ Bernstein Delicatessen,88,"Soups, Polish","“Similar to matzoh ball soup, but it is filled with dumplings filled with beef...”",No,Yes
The Elgin,55,"Pub, Gastropub",“I had the sliders and a green salad with a tasty lemony vinaigrette.”,No,Yes
Dish,90,American,“Excellent Breakfast”,No,Yes
Sbarro,309,"Italian, Pizza",“Decent location for decent Italian food.”,No,Yes
Tanaka Sushi,57,"Japanese, Seafood",“Good sushi”,No,Yes
Papilles,28,"French, European",“Surprisingly great meal in the East...”,No,Yes
Versa,40,"American, Bar","“... lunch with two others and had the Grilled Chicken, Avocado Wrap w/fries.”",No,No
Balzem,100,"Wine Bar, Mediterranean",“Amazing!!!”,No,No
Flor De Mayo,66,"Chinese, Peruvian",“Delicious”,No,No
Buona Notte,238,Italian,“Great afternoon”,No,No
Fusha Asian Cuisine,62,"Japanese, Sushi",“Nice to try”,No,No
Baar Baar,89,Indian,“Upscale Indian restaurant with good...”,No,No
Ukrainian East Village Restaurant,85,"Eastern European, European",“Comfort Food!”,No,No
Benjamin Steakhouse,"2,490","Seafood, Soups","“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",No,No
Il Pesce,84,"Italian, Seafood",“Pesce Power”,No,No
Pinocchio Ristorante,67,Italian,“Great Food”,No,No
Union Bar and Kitchen,53,"American, Bar","“Good food, good drink”",No,No
The Coliseum,102,"Irish, Bar",“Honest Food”,No,No
Rose's Pizza and Pasta,78,"Pizza, Fast Food",“New York Pizza is great....if you are in...”,No,No
Socarrat Paella Bar - Chelsea,225,"Seafood, Mediterranean",“We took the combined poultry and seafood paella and started with some appetiz...”,No,No
Portale Restaurant,34,Italian,“Our entrees were a pasta dish and the branzino which we both enjoyed.”,No,No
Loreley Beer Garden,104,"German, Bar",“Amazing food with nice decor”,No,No
Tataki Japanese Restaurant,74,"Japanese, Sushi",“Perfect place to eat!”,No,No
Saigon Market,98,"Asian, Vietnamese","“It's been a while, still a good place to...”",No,No
Sofia Pizza Shoppe,32,"Pizza, Italian",“a secret Sutton place gem”,No,No
Tim Ho Wan,35,"Chinese, Asian",“LOVE THIS PLACE”,No,No
The Marshal,323,"American, Pizza",“Quite possibly the best Pizza I ever ate!”,Pizza,Yes
Mad Dog & Beans Mexican Cantina,56,Mexican,“Best Fajitas Ever!”,Fajitas,Yes
The Rose Club at The Plaza in NYC,87,"Bar, Contemporary",“A touch of class”,prawns,Yes
Mr. Chow - 57th,343,"Chinese, Asian",“The entrees were great as the prawns we...”,gyoza,Yes
Le Moulin a Cafe,57,"French, Cafe",“Tres magnifique - charming cafe restaurant”,breakfast,Yes
Jim Brady's Restaurant,94,"Irish, Bar",“Downtown”,An Italian restaurant,Yes
Balzem,100,"Wine Bar, Mediterranean",“Amazing!!!”,tuna,Yes
Sathi,19,"Indian, Asian",“Good food and relaxing athmosphere”,paella,Yes
Casa Mexicana,40,"Mexican, Latin",“Great food - vegetarian options”,No,Yes
Pocket Bar NYC,29,"Wine Bar, Pub",“Excellent Place for Drinks”,No,Yes
Valla Table,55,"Asian, Thai",“tasty thai”,No,Yes
Ledo Pizza,13,"Italian, Pizza",“Maryland’s Best in NYC”,No,Yes
IZAKAYA E.A.K. Hell's Kitchen,20,"Japanese, Asian",“We also had pork and ginger gyoza.”,No,Yes
Pret A Manger,62,Fast Food,"“Quick, Tasty Food”",No,Yes
Serafina,229,Italian,“Good food at this consistent favorite”,No,Yes
Elio's Restaurant,183,Italian,“Excellent Italian food but crowded”,No,Yes
Le Pif Wine Bars,53,"French, European",“Amazing Le Pif on chelsea!”,No,Yes
Fournos Theophilos,37,"Greek, Mediterranean","“Very warm place, best food we had in NY...”",No,Yes
Brooklyn Chop House - Times Square,3,"Chinese, Steakhouse",“Worth the price”,No,Yes
Wogies Bar & Grill,76,"American, Bar",“Not Bad”,No,Yes
Belle Harlem,43,American,"“An absolute gem, not to be missed.”",No,Yes
Massawa,46,"African, Ethiopian",“Mouthwatering”,No,Yes
Cafe Luka,107,"American, Cafe",“Great for breakfast”,No,Yes
Yum Yum 3,86,"Asian, Thai",“Good Thai food”,No,No
Don Giovanni Ristorante,263,"Italian, Pizza",“An Italian restaurant well worth a visit”,No,No
Atla,86,Mexican,“Good”,No,No
Ladybird,37,Healthy,“One of the best meals I've had”,No,No
Tacombi,76,"Mexican, Latin",“Fresh flavours in relaxed set up”,No,No
Tallgrass Burger,29,"American, Fast Food",“Awesome burgers”,No,No
Saravanaa Bhavan,262,Indian,“Delicious”,No,No
Vestry,24,"American, Bar",“The tuna toast !”,No,No
Westville Hell's Kitchen,22,"Cafe, Mediterranean",“My first visit”,No,No
Park West Cafe & Deli,51,"American, Bar",“GREAT FOOD”,No,No
Off the Wagon,76,"Korean, American",“Great lunch”,No,No
Delis 48,88,"Mediterranean, European",“Woulda got 5 stars if they had chicken...”,No,No
Pure Ktchen,25,"Mediterranean, European","“Good Taste, Good Quality, no waste...”",No,No
Socarrat Paella Bar - Midtown East,191,"Mediterranean, European",“Best paella outside of Spain!”,No,No
Benjamin Steakhouse Prime,309,"Seafood, Soups","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",Crab Cakes,Yes
Village Yokocho,73,Japanese,“Delicious and in an interesting setting”,foods,Yes
L' Adresse,32,"Bar, Cafe",“Fantastic Choice of Brunch Dishes!”,ribeye,Yes
Mifune,49,"Japanese, Sushi",“A Midtown Find”,udon,Yes
Zest,36,"Japanese, Sushi",“Wonderful Thai/Japanese place.”,Pizza,Yes
Soho Park,291,"American, Bar",“Lively bar”,hummus,Yes
Lezzet Mediterranean Turkish Restaurant,17,"Mediterranean, Turkish",“Very Authentic & Delicious”,Dumplings,Yes
Babu Ji,107,"Indian, Asian",“Improved since my last visit”,tacos,Yes
Sao Mai Vietnamese Cuisine,61,"Asian, Vietnamese",“I ate various foods and was not disappo...”,No,Yes
The Vieux Restaurante & Lounge en El Hotel Marriot Marquise,132,"French, Cafe",“Best relaxing view of Manhattn”,No,Yes
Cafe du Soleil,182,"Fast Food, American",“Perfect atmosphere with excellent service”,No,Yes
Pret A Manger,45,"Chinese, Seafood",“Delicious & convenient”,No,Yes
Sichuan Hot Pot Cuisine,87,"Chinese, Asian",“Great spot in Chinatown!”,No,Yes
Mee Noodle Shop Hell's Kitchen,121,"French, Wine Bar",“Not bad but not great”,No,Yes
Vin Sur Vingt,88,American,“Nice wine and good ambiance”,No,Yes
Bar Centrale,106,"Asian, Soups",“Great hidden gem!”,No,Yes
Little Sheep Mongolian Hot Pot,34,"Pizza, Italian",“Real HotPot”,No,Yes
Underground Pizza,41,"Bar, American","“Quick, tasty, Italian pizza at a great...”",No,No
Ben & Jack's Steakhouse,87,"Asian, Thai",“The bartender/server suggested the ribeye as well as the special mashed potat...”,No,No
Lan Larb,41,"Japanese, Asian",“Great lunch”,No,No
TsuruTonTan Udon Noodle Brasserie,44,"Italian, Pizza",“Excellent udon/sushi combo”,No,No
Patsy's Pizzeria,75,"Latin, Spanish",“Good lunch”,No,No
La Pulperia Ues,74,"American, Cafe",“Very good food and service! Loud!”,No,No
Amsterdam Gourmet,39,"Chinese, Asian",“Everything you need”,No,No
Tangy Noodle,3,"Bar, Asian",“Great quality for the price!”,No,No
Verlaine,59,Israeli,“The Source of my Daydreams”,No,No
Dagon,28,"Caribbean, Seafood",“Excellent”,No,No
LoLo's Seafood Shack,74,"Mexican, Latin",“Fresh lobster and seafoods”,No,No
Kahlo,29,French,“A+++ from start to finish”,No,No
La Ripaille,84,"American, Pizza",“French restaurant exemplified”,No,No
The Marshal,323,"Cafe, American",“Quite possibly the best Pizza I ever ate!”,No,No
The Times Eatery,32,"Mediterranean, Middle Eastern",“Best in town!!!”,No,No
Hummus Kitchen,60,"Chinese, Asian","“... eat! Everything was yummy, yes, including the hummus, but really everything.”",No,No
Shu Jiao Fu Zhou Cuisine,38,Contemporary,“Best Dumplings Ever”,No,No
Acme,185,"Mexican, Latin",“Cool ambience”,No,No
Toro Loco,50,"Chinese, Steakhouse",“We had the burnt cheese steak tacos.”,No,No
Brooklyn Chop House - Times Square,3,"Chinese, Steakhouse",“Worth the price”,No,No
Motorino,48,"Italian, Pizza",“Delicious thin crust pizza”,pizza,Yes
Ramen Misoya,48,"Japanese, Asian",“Popular Ramen Place Near Bars - Overrun...”,pizza,Yes
Black Iron Burger,28,"Bar, Pub",“Delicious!”,tuna,Yes
Dim Sum Palace,79,"Chinese, Asian",“Good dim sum”,pasta,Yes
Abaita,29,"Mediterranean, Pizza",“Excellent pizza but crowded and over-priced”,salad,Yes
Asura Asian Bistro,74,"Japanese, Sushi",“Hidden gem”,wings,Yes
Vestry,24,"Wine Bar, Spanish",“The tuna toast !”,roll,Yes
Adella Restaurant,45,"Asian, Malaysian",“Great after the show restaurant!”,lobster bisque,Yes
Malaysia Grill,56,Italian,“A neighborhood gem!”,Pizza,Yes
Italianissimo Ristorante,74,"Street Food, Indian","“I ordered a pasta Primavera , The vegetables were a goodly assortment but the...”",pasta,Yes
Masala Times,62,"Japanese, Sushi","“Good Indian Street food,”",chili,Yes
Shokudo,50,"Italian, Pizza",“Permanently Closed”,vegetarian,Yes
Salumeria Rosi,400,"American, Bar",“Food was quite good and the cheese and meats were an ideal meal with salad.”,bagels,Yes
American Whiskey,104,"Italian, Pizza",“Had original hot wings and then the bama white sauce...which those that tried...”,ribeye,Yes
Saluggis,92,"Japanese, Seafood","“Affordable, delicious food.”",No,Yes
Kappo Masa,108,"Bar, American",“... we even ordered one additional roll.”,No,Yes
Upright,31,"Italian, Pizza",“Excellent dining experience!”,No,Yes
Rossopomodoro,53,"Steakhouse, Bar",“Pizzaaaaasa!”,No,Yes
Sea Fire Grill,"1,137","Diner, American",“The lobster bisque was velvety and luscious.”,No,Yes
Soho Diner,30,"American, Fast Food",“Best Pancakes in Soho!”,No,No
Stage Star Deli,76,"Italian, Pizza","“Prices very modest, as is the interior...”",No,No
Angelo Bellini,113,International,“Pizza review”,No,No
Delegates Dining Room,51,"Italian, Mediterranean",“International Cuisine At A Gorgeous...”,No,No
LaRina Pastificio & Vino,32,"Asian, Chinese","“For pasta, the Clam Tonnarelli with thicker noodles and tastier, creamy sauce...”",No,No
Little Alley,44,Italian,“For a main course the sautéed green beans with pork and dried red chili was b...”,No,No
Altesi,53,"Japanese, Sushi",“Good Spaghetti”,No,No
Sushi of Gari,56,American,"“Great Sushi, Stupid Expensive”",No,No
Flip,65,Indian,“Excellent pit stop”,No,No
Zaika NYC,61,"Japanese, Sushi",“Excellent Indian Food”,No,No
Azuki Japanese Restaurant,58,Indian,“Good for basic sushi”,No,No
Saar Indian Bistro,98,"Mexican, Latin",“We had a party of four and ordered three entrees to share and one vegetarian...”,No,No
W Cafe,156,Fast Food,“Quick bite”,No,No
Frame Gourmet Eatery,49,"Brazilian, Latin",“2 x bagels 1 smoothie 1 orange juice 1...”,No,No
Esperanto,102,Italian,“Exotic vibes”,No,No
Kogane Ramen,18,"Bar, American",“Authentic Ramen”,No,No
Mi Garba,33,"Bar, American",“Just wonderful!”,No,No
Ben & Jack's Steakhouse,87,"Bar, American",“The bartender/server suggested the ribeye as well as the special mashed potat...”,No,No
Balzem,100,"Wine Bar, Mediterranean",“Amazing!!!”,pizza,Yes
Katsu-Hama,86,"Japanese, Asian",“True ramen house”,An Italian restaurant,Yes
212 Steakhouse,219,"Wine Bar, Steakhouse",“Pretty decent steaks but by no means cheap”,Wine Bar,Yes
Sette Mezzo,80,"Italian, Mediterranean","“Good service, decent food”",Irish pub,Yes
Bettola,123,"Italian, Pizza",“... older) children with pasta and pizza.”,Steak,Yes
Cappone's Salumeria,42,Italian,“Absolutely yummy”,Chinatown,Yes
Don Giovanni Ristorante,263,"Italian, Pizza",“An Italian restaurant well worth a visit”,pasta,Yes
Tabletime,27,"Cafe, American",“Best place in NYC for breakfast”,Crab Cakes,Yes
Flavors Cafe,52,"Bar, American",“Brunch”,pasta,Yes
Forget Me Not,39,"Mediterranean, Wine Bar",“Best find during our trip”,Greek,Yes
Medi Winebar,131,"Irish, Pub","“MEDI Wine Bar management, staff, and ch...”",diner,Yes
Killarney Rose,61,"American, Steakhouse","“The atmosphere is very Irish pub, but accomodstes families as well as bar goers.”",steak,Yes
Royal 35 Steakhouse,591,"Bar, Mexican","“Superb Steak, really delicious”",Dim Sum,Yes
The Cutting Room,106,American,“Great Music Venue”,kimchi,Yes
Chefs Club Counter,39,"Chinese, Asian",“Farmacy pop-up in SoHo = amazing!”,French toast,Yes
Grand Sichuan International - Chelsea,102,Italian,“... and don't want to head to Chinatown.”,No,No
Serra By Birreria,87,"Bar, Italian",“... their own pasta dishes as a main co...”,No,No
Bellini,99,"Seafood, Soups",“Reliable red sauce Italian”,No,No
Benjamin Steakhouse Prime,309,"American, Steakhouse","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",No,No
Skirt Steak,35,American,“Pleasant for the price”,No,No
King Restaurant,65,"Japanese, Asian",“I had the Spring nettle pesto pasta and...”,No,No
Katsuhama,123,"Lebanese, Mediterranean",“So many Japanese customers can't be wrong”,No,No
Zaytinya,26,"American, Diner","“I decided to go to this Lebanese, Greek...”",No,No
Hollywood Diner,134,"Steakhouse, American",“This diner is offering outdoor seating on the sidewalk.”,No,No
Tabernacle Steakhouse,7,"Chinese, Asian",“My steak was delectable and cooked to perfection.”,No,No
China Xiang,68,"Asian, Thai",“Top notch food”,No,No
Thai @ Lex,51,"Mexican, Latin","“Busy place, nice lunch diecisks snd good...”",No,No
Cancun Restaurant,137,Middle Eastern,“Friendly and Cozy”,No,No
Silvana,57,Cafe,“Free live music”,No,No
The Petrie Court Cafe,332,"Chinese, Asian",“Nice food”,No,No
